Afro-American Studies,AFRAM 
Business Communications,B CMU 
Business Economics,B ECON 
Business Policy,B POL 
E-Business,EBIZ 
Entrepreneurship,ENTRE 
Finance,FIN 
Human Resources Management and Organizational Behavior,HRMOB 
Information Systems,I S 
Information Systems Master of Science,MSIS 
International Business,I BUS 
Management,MGMT 
Marketing,MKTG 
Operations Management,OPMGT 
Organization and Environment,O E 
Quantitative Methods,QMETH 
Strategic Management,ST MGT 
Dental Hygiene,D HYG 
Dental Public Health Sciences,DPHS 
Dentistry,DENT 
Endodontics,ENDO 
Oral Biology,ORALB 
Oral Medicine,ORALM 
Oral Surgery,O S 
Orthodontics,ORTHO 
Pediatric Dentistry,PEDO 
Periodontics,PERIO 
Prosthodontics,PROS 
Restorative Dentistry,RES D 
Curriculum and Instruction,EDC&I 
College of Education,EDUC 
Early Childhood and Family Studies,ECFS 
Education:Teacher Education Program ,EDTEP 
Educational Leadership and Policy Studies,EDLPS 
Educational Psychology,EDPSY 
Special Education,EDSPE 
Aeronautics and Astronautics,A A 
Chemical Engineering,CHEM E 
Nanoscience and Molecular Engineering,NME 
Civil and Environmental Engineering,CEE 
Computer Science and Engineering,CSE 
Electrical Engineering,E E 
Engineering,ENGR 
Human Centered Design and Engineering,HCDE 
Industrial Engineering,IND E 
Materials Science and Engineering,MS E 
Mechanical Engineering,M E 
Mechanical Engineering Industrial Engineering,MEIE 
Technical Communication,see Human Centered Design and Engineering 
Aquatic and Fishery Sciences,FISH 
College of the Environment,C ENV 
Program on the Environment,ENVIR 
Bioresource and Science Engineering,BSE 
Environmental Science and Resource Management,ESRM 
Paper Science and Engineering,PSE 
School of Forest Resources,CFR 
School of Marine Affairs,SMA 
Quantitative Science,Q SCI 
Quaternary Sciences,QUAT 
Informatics,INFO 
Information School Interdisciplinary,INFX 
Information Science,INSC 
Information Management,IMT 
Library and Information Science,LIS 
Biomolecular Structure and Design,BMSD 
Graduate School,GRDSCH 
Global Trade,Transportation & Logistics,GTTL 
Individual PhD,IPHD 
Molecular and Cellular Biology,MCB 
Museology,MUSEUM 
Near and Middle Eastern Studies,N&MES 
Neurobiology and Behavior,NEUBEH 
Quantitative Ecology and Resource Management,QERM 
Bioengineering,BIOEN 
Medical Engineering,MEDENG 
Pharmaceutical Bioengineering,PHARBE  
University Conjoint Courses,UCONJ 
Law,LAW 
Law A,LAW A 
Law B,LAW B 
Law E,LAW E 
Law:Health,LAW H 
Law:Intellectual Property,LAW P 
Law:Taxation,LAW T 
Anesthesiology,ANEST 
Biochemistry,BIOC 
Bioethics and Humanities,B H 
Biological Structure,B STR 
Comparative Medicine,C MED 
Conjoint Courses,CONJ 
Family Medicine,FAMED 
Genome Sciences,GENOME 
Human Biology,HUBIO 
Immunology,IMMUN 
Laboratory Medicine,LAB M 
MEDEX Program,MEDEX 
Medical Education and Biomedical Informatics,MEBI 
Emergency Medicine,MED EM 
Medicine,MED 
Medicine Elective Clerkships,MEDECK 
Medicine Required Clerkships,MEDRCK 
Microbiology,MICROM 
Molecular Medicine,MOLMED 
Neurological Surgery,NEUR S 
Neurology,NEURL 
Obstetrics and Gynecology,OB GYN 
Ophthalmology,OPHTH 
Orthopedics,ORTHP 
Otolaryngology--Head and Neck Surgery,OTOHN 
Pathology,PATH 
Pediatrics,PEDS 
Pharmacology,PHCOL 
Physiology and Biophysics,P BIO 
Psychiatry and Behavioral Sciences,PBSCI 
Radiation Oncology,R ONC 
Radiology,RADGY 
Prosthetics and Orthotics,RHB PO 
Rehabilitation Medicine,REHAB 
Surgery,SURG 
Urology,UROL 
Nursing,NURS 
Nursing Clinical,NCLIN 
Nursing Methods,NMETH 
Medicinal Chemistry,MEDCH 
Pharmaceutics,PCEUT 
Pharmacy,PHARM 
Pharmacy Practice,PHARMP 
Pharmacy Regulatory Affairs,PHRMRA 
Public Affairs,PB AF 
Public Policy and Management,PPM 
Biostatistics,BIOST 
Environmental Health,ENV H 
Epidemiology,EPI 
Global Health,G H  
Health Informatics and Health Information,HIHIM 
Health Services,HSERV 
Health Services Management,HSMGMT 
Nutritional Science,NUTR 
Pathobiology,PABIO 
Public Health Genetics,PHG 
Aerospace Studies,A S 
Military Science,M SCI 
Naval Science,N SCI 
Social Welfare BASW,SOC WF 
Social Welfare,SOC WL 
Oceanography,OCEAN 
